 x coord, y coord, z coord, phi
   1.99999996E-02 ,   1.99999996E-02 ,   0.00000000     ,   4.00000048E-04
   1.99999996E-02 ,   5.99999987E-02 ,   0.00000000     ,   1.20000239E-03
   1.99999996E-02 ,   9.99999940E-02 ,   0.00000000     ,   1.99999893E-03
   1.99999996E-02 ,  0.140000001     ,   0.00000000     ,   2.79999967E-03
   1.99999996E-02 ,  0.179999992     ,   0.00000000     ,   3.59999947E-03
   1.99999996E-02 ,  0.219999984     ,   0.00000000     ,   4.40000044E-03
   1.99999996E-02 ,  0.259999990     ,   0.00000000     ,   5.19999675E-03
   1.99999996E-02 ,  0.300000012     ,   0.00000000     ,   5.99999959E-03
   1.99999996E-02 ,  0.340000004     ,   0.00000000     ,   6.79999962E-03
   1.99999996E-02 ,  0.379999995     ,   0.00000000     ,   7.59999780E-03
   1.99999996E-02 ,  0.419999987     ,   0.00000000     ,   8.39999691E-03
   1.99999996E-02 ,  0.460000008     ,   0.00000000     ,   9.19999648E-03
   1.99999996E-02 ,  0.500000000     ,   0.00000000     ,   9.99999326E-03
   1.99999996E-02 ,  0.539999962     ,   0.00000000     ,   1.08000021E-02
   1.99999996E-02 ,  0.579999983     ,   0.00000000     ,   1.15999952E-02
   1.99999996E-02 ,  0.619999945     ,   0.00000000     ,   1.23999938E-02
   1.99999996E-02 ,  0.659999967     ,   0.00000000     ,   1.31999990E-02
   1.99999996E-02 ,  0.699999988     ,   0.00000000     ,   1.39999967E-02
   1.99999996E-02 ,  0.739999950     ,   0.00000000     ,   1.47999991E-02
   1.99999996E-02 ,  0.779999971     ,   0.00000000     ,   1.56000080E-02
   1.99999996E-02 ,  0.819999933     ,   0.00000000     ,   1.64000001E-02
   1.99999996E-02 ,  0.859999955     ,   0.00000000     ,   1.72000080E-02
   1.99999996E-02 ,  0.899999976     ,   0.00000000     ,   1.80000030E-02
   1.99999996E-02 ,  0.939999938     ,   0.00000000     ,   1.87999997E-02
   1.99999996E-02 ,  0.979999959     ,   0.00000000     ,   1.95999928E-02
   5.99999987E-02 ,   1.99999996E-02 ,   0.00000000     ,   1.20000262E-03
   5.99999987E-02 ,   5.99999987E-02 ,   0.00000000     ,   3.60000040E-03
   5.99999987E-02 ,   9.99999940E-02 ,   0.00000000     ,   6.00000052E-03
   5.99999987E-02 ,  0.140000001     ,   0.00000000     ,   8.39999877E-03
   5.99999987E-02 ,  0.179999992     ,   0.00000000     ,   1.07999975E-02
   5.99999987E-02 ,  0.219999984     ,   0.00000000     ,   1.31999971E-02
   5.99999987E-02 ,  0.259999990     ,   0.00000000     ,   1.55999959E-02
   5.99999987E-02 ,  0.300000012     ,   0.00000000     ,   1.79999992E-02
   5.99999987E-02 ,  0.340000004     ,   0.00000000     ,   2.03999951E-02
   5.99999987E-02 ,  0.379999995     ,   0.00000000     ,   2.27999929E-02
   5.99999987E-02 ,  0.419999987     ,   0.00000000     ,   2.51999870E-02
   5.99999987E-02 ,  0.460000008     ,   0.00000000     ,   2.75999885E-02
   5.99999987E-02 ,  0.500000000     ,   0.00000000     ,   3.00000049E-02
   5.99999987E-02 ,  0.539999962     ,   0.00000000     ,   3.23999934E-02
   5.99999987E-02 ,  0.579999983     ,   0.00000000     ,   3.47999930E-02
   5.99999987E-02 ,  0.619999945     ,   0.00000000     ,   3.71999852E-02
   5.99999987E-02 ,  0.659999967     ,   0.00000000     ,   3.96000110E-02
   5.99999987E-02 ,  0.699999988     ,   0.00000000     ,   4.20000143E-02
   5.99999987E-02 ,  0.739999950     ,   0.00000000     ,   4.44000214E-02
   5.99999987E-02 ,  0.779999971     ,   0.00000000     ,   4.68000174E-02
   5.99999987E-02 ,  0.819999933     ,   0.00000000     ,   4.92000207E-02
   5.99999987E-02 ,  0.859999955     ,   0.00000000     ,   5.16000018E-02
   5.99999987E-02 ,  0.899999976     ,   0.00000000     ,   5.39999902E-02
   5.99999987E-02 ,  0.939999938     ,   0.00000000     ,   5.63999899E-02
   5.99999987E-02 ,  0.979999959     ,   0.00000000     ,   5.87999932E-02
   9.99999940E-02 ,   1.99999996E-02 ,   0.00000000     ,   1.99999986E-03
   9.99999940E-02 ,   5.99999987E-02 ,   0.00000000     ,   6.00000098E-03
   9.99999940E-02 ,   9.99999940E-02 ,   0.00000000     ,   9.99999885E-03
   9.99999940E-02 ,  0.140000001     ,   0.00000000     ,   1.39999976E-02
   9.99999940E-02 ,  0.179999992     ,   0.00000000     ,   1.79999992E-02
   9.99999940E-02 ,  0.219999984     ,   0.00000000     ,   2.19999924E-02
   9.99999940E-02 ,  0.259999990     ,   0.00000000     ,   2.59999968E-02
   9.99999940E-02 ,  0.300000012     ,   0.00000000     ,   2.99999919E-02
   9.99999940E-02 ,  0.340000004     ,   0.00000000     ,   3.39999869E-02
